TXN,RXN,EXE_TF,EXE_TC,DELAY_F,DELAY_C,7.926853023,ENERGY_C,ENERGY_A,ENERGY_B ,APP_Id
0.7943566,8.571389301,0.002664082,0.000336671,7.678764608,5.351256088,47.34323483,67.77317633,27.35892943,28.99790926,10
3.69477325,4.538641236,0.007482712,0.000245816,7.134235044,8.899660776,94.53246994,77.41629684,67.77266552,66.19459749,8
0.258968121,2.449131235,0.002740272,0.000770718,5.990210174,9.314002752,2.953652462,23.69390111,39.68702826,17.44405764,4
1.489274216,9.202854693,0.00091749,0.000593505,6.479061673,4.622054542,46.77101859,92.06821614,60.51957408,97.96361682,8
5.769090206,9.180588323,0.009908552,0.000960095,5.500204681,8.864791264,9.842100771,82.44592248,78.05385954,96.18228823,2
5.236811764,3.213112008,0.0015752,0.000268434,2.90333674,4.84704438,10.74164447,80.60785443,97.60552919,37.08443651,2
5.723451745,0.881845768,0.009971509,0.000861029,5.98457375,4.633023907,87.08866437,29.37532991,17.27231643,99.10716958,7
2.453705611,1.98121147,0.003653892,0.000943375,5.11189632,2.744118225,10.17501285,43.94971558,81.21798688,69.71238329,8
6.664854045,4.427475354,9.91739E-05,0.000532224,4.927327884,6.868595495,35.69408883,34.31817771,54.1804103,0.015231428,7
8.958063248,0.824156134,0.006211684,0.000881508,1.455842144,2.035018966,59.71799745,53.77356173,10.9027786,94.06143079,8
2.701753552,4.161607319,0.009524848,0.000358052,5.540077957,7.656227328,89.94566287,55.84086622,15.98871173,30.15973908,9
9.593928194,5.482164138,0.0034796,0.000902004,5.636092105,9.310501359,11.18299645,85.85371324,71.067834,34.30495252,6
8.538339741,0.22076643,0.005162704,7.06471E-05,5.718390913,2.41748104,94.94521605,25.15120202,90.00256545,9.232714124,1
6.512928066,0.044468437,0.001842925,9.79211E-05,9.327522969,2.530670454,73.71141101,78.24739844,7.555556362,65.67360884,4
1.431196978,7.268957186,0.003718168,0.000285454,0.919086702,7.041392279,3.620038868,32.29154538,81.07069193,66.53436468,5
5.017484516,4.042701872,0.006072484,2.6695E-05,4.21755271,4.314331538,92.70381666,9.223806349,80.85861157,56.87947706,8
8.041505965,4.280866538,0.008630879,0.000661702,2.645096762,3.312726394,80.95963495,13.81105554,26.00364436,93.12204251,6
7.976869182,0.593904435,0.005287737,0.000855213,3.276960739,4.158287656,65.70610998,6.699137347,79.28877092,43.41762838,6
9.863640062,1.151488551,0.007686584,0.000307645,3.772979704,7.914984141,88.5607092,67.08307222,83.2209795,0.255254041,10
7.579046021,1.400194074,0.009666217,0.000367848,1.659537779,1.11477977,81.07955728,18.31511002,68.38533906,39.40795709,4
5.525064123,5.178749581,0.002486763,0.000880373,7.663548409,8.76998419,7.977445815,72.91531243,91.29424075,87.90450501,8
4.093644038,0.3468901,0.007017412,0.000338385,5.483966499,9.057260829,80.72184325,64.00864435,47.06652577,20.44134268,3
3.538608903,9.946789699,0.008845262,0.000459507,6.713230109,4.930433914,75.89901962,0.107534931,3.806850583,7.756793434,4
